date,hour,miniute,end,meannumber
4,6,30,16,139.3150407
4,6,30,17,188.2276423
4,6,30,18,104.7764228
4,6,30,19,104.3617886
4,6,30,20,89.94105691
4,6,30,21,109.6747967
4,6,30,22,25.05081301
4,6,30,23,73.55487805
4,6,30,24,104.5345528
4,7,0,9,270.6869919
4,7,0,10,244.5
4,7,0,11,210.504065
4,7,0,12,408.0365854
4,7,0,13,220.9939024
4,7,0,14,200.3333333
4,7,0,15,230.2947154
4,7,0,16,213.5243902
4,7,0,17,297.4430894
4,7,0,18,167.847561
4,7,0,19,156.495935
4,7,0,20,140.2947154
4,7,0,21,177.7195122
4,7,0,22,39.18089431
4,7,0,23,117.4471545
4,7,0,24,181.7012195
4,7,30,9,281.5731707
4,7,30,10,245.1605691
4,7,30,11,232.804878
4,7,30,12,452.1808943
4,7,30,13,226.3211382
4,7,30,14,206.2987805
4,7,30,15,197.5203252
4,7,30,16,201.5182927
4,7,30,17,288.1869919
4,7,30,18,173.0081301
4,7,30,19,155.2906504
4,7,30,20,134.8760163
4,7,30,21,176.1930894
4,7,30,22,49.97764228
4,7,30,23,145.2926829
4,7,30,24,209.4817073
4,8,0,9,281.7093496
4,8,0,10,232.3130081
4,8,0,11,208.8841463
4,8,0,12,392.695122
4,8,0,13,202.7886179
4,8,0,14,174.6382114
4,8,0,15,183.7601626
4,8,0,16,198.4207317
4,8,0,17,283.6321138
4,8,0,18,175.6585366
4,8,0,19,144.8252033
4,8,0,20,130.4207317
4,8,0,21,162.3699187
4,8,0,22,57.04065041
4,8,0,23,142.5691057
4,8,0,24,175.9044715
4,8,30,9,240.1077236
4,8,30,10,195.3394309
4,8,30,11,159.8719512
4,8,30,12,311.9146341
4,8,30,13,173.6036585
4,8,30,14,147.745935
4,8,30,15,170.0060976
4,8,30,16,184.4857724
4,8,30,17,256.3130081
4,8,30,18,156.6626016
4,8,30,19,123.9552846
4,8,30,20,119.495935
4,8,30,21,148.796748
4,8,30,22,58.24390244
4,8,30,23,136.3231707
4,8,30,24,147.8211382
4,9,0,9,207.0020325
4,9,0,10,179.0691057
4,9,0,11,147.2296748
4,9,0,12,296.1260163
4,9,0,13,166.597561
4,9,0,14,143.7865854
4,9,0,15,167.1463415
4,9,0,16,163.1300813
4,9,0,17,222.3678862
4,9,0,18,140.8882114
4,9,0,19,107.8109756
4,9,0,20,106.9247967
4,9,0,21,129.3821138
4,9,0,22,60.67886179
4,9,0,23,143.7621951
4,9,0,24,147.7154472
4,9,30,9,208.2784553
4,9,30,10,188.1178862
4,9,30,11,159.1219512
4,9,30,12,296.2276423
4,9,30,13,170.6666667
4,9,30,14,146.7865854
4,9,30,15,167.8963415
4,9,30,16,159.7642276
4,9,30,17,222.3394309
4,9,30,18,143.4898374
4,9,30,19,111.0772358
4,9,30,20,109.9369919
4,9,30,21,132.6605691
4,9,30,22,67.66869919
4,9,30,23,153.0162602
4,9,30,24,150.5325203
4,10,0,9,196.1402439
4,10,0,10,185.4573171
4,10,0,11,162.4674797
4,10,0,12,282.4369919
4,10,0,13,164.847561
4,10,0,14,143.0995935
4,10,0,15,159.9939024
4,10,0,16,151.0569106
4,10,0,17,209.9186992
4,10,0,18,135.6808943
4,10,0,19,108.8800813
4,10,0,20,110.2764228
4,10,0,21,129.796748
4,10,0,22,67.58739837
4,10,0,23,147.4593496
4,10,0,24,145.7865854
4,10,30,9,193.1138211
4,10,30,10,185.9552846
4,10,30,11,164.1097561
4,10,30,12,279.800813
4,10,30,13,163.9593496
4,10,30,14,142.1158537
4,10,30,15,159.5081301
4,10,30,16,151.004065
